time,adt
1993-07-03,1.0270866666666667
1993-07-04,1.0271100000000002
1993-07-05,1.0278100000000001
1993-07-06,1.0268433333333333
1993-07-07,1.02519
1993-07-08,1.0229533333333334
1993-07-09,1.0225433333333336
1993-07-10,1.0298933333333333
1993-07-11,1.0291333333333335
1993-07-12,1.02759
1993-07-13,1.0244166666666668
1993-07-14,1.0225300000000002
1993-07-15,1.0201500000000001
1993-07-16,1.0189733333333335
1993-07-17,1.0168533333333334
1993-07-18,1.0127533333333334
1993-07-19,1.0087633333333335
1993-07-20,1.0055466666666668
1993-07-21,1.0006166666666667
1993-07-22,0.9946
1993-07-23,0.9888166666666668
1993-07-24,0.9852666666666666
1993-07-25,0.98101
1993-07-26,0.9773800000000001
1993-07-27,0.9737233333333334
1993-07-28,0.96818
